Method,case_id,Lsel,Rmax,centroid_heap_k,max_score,calib_heap_front_alpha,repeats,Q,D_logits,D_in,enum_ms_p50,refine_ms_p50,total_ms_p50,total_qps_p50,refined_vecs_p50,refined_vecs_mean,recall_p50,train_time_s,add_time_s,build_time_s
NeuRoute,24,16,6,7000,0.36,0.5,1,10000,22,96,1305.684583,13666.87902,15026.11343,665.508087,4423809640,4423809640,0.9042,,,
NeuRoute,13,16,6,6000,0.3,0.6,1,10000,22,96,1295.170745,11804.07216,13144.35954,760.782598,3775826873,3775826873,0.90396,,,
NeuRoute,19,16,6,7000,0.25,0.6,1,10000,22,96,1107.362018,12858.25579,14011.24569,713.712415,4139960870,4139960870,0.9039,,,
NeuRoute,47,16,7,6000,0.25,0.7,1,10000,22,96,1247.531982,11480.93764,12769.86009,783.093936,3676201871,3676201871,0.90377,,,
NeuRoute,119,17,6,6000,0.25,0.7,1,10000,22,96,1219.809608,11442.95464,12704.4974,787.122834,3674663889,3674663889,0.90318,,,
NeuRoute,46,16,7,6000,0.25,0.6,1,10000,22,96,1172.390059,11478.93517,12693.13372,787.827515,3678099531,3678099531,0.90268,,,
NeuRoute,51,16,7,6000,0.36,0.5,1,10000,22,96,1474.135462,12658.92404,14188.15223,704.813413,4064191857,4064191857,0.90252,,,
NeuRoute,21,16,6,7000,0.3,0.5,1,10000,22,96,1139.461033,13417.76298,14605.66462,684.665865,4296555566,4296555566,0.90222,,,
NeuRoute,118,17,6,6000,0.25,0.6,1,10000,22,96,1146.758214,11386.38898,12574.83637,795.238976,3676575203,3676575203,0.90205,,,
NeuRoute,2,16,7,5000,0.36,0.7,1,10000,22,96,1759.147901,11367.37184,13212.03991,756.885392,3509159736,3509159736,0.90144,1124.42,1271.36,2395.79
NeuRoute,2,16,7,5000,0.36,0.7,1,10000,22,96,1759.147901,11367.37184,13212.03991,756.885392,3509159736,3509159736,0.90144,1124.42,1271.36,2395.79
NeuRoute,2,16,7,5000,0.36,0.7,1,10000,22,96,1788.283767,10851.93536,12720.69041,786.120853,3509159736,3509159736,0.90144,1124.42,1271.36,2395.79
NeuRoute,2,16,7,5000,0.36,0.7,1,10000,22,96,1759.147901,11367.37184,13212.03991,756.885392,3509159736,3509159736,0.90144,,,
NeuRoute,2,16,7,5000,0.36,0.7,1,10000,22,96,1788.283767,10851.93536,12720.69041,786.120853,3509159736,3509159736,0.90144,,,
