Method,case_id,Lsel,Rmax,centroid_heap_k,max_score,calib_heap_front_alpha,repeats,Q,D_logits,D_in,enum_ms_p50,refine_ms_p50,total_ms_p50,total_qps_p50,refined_vecs_p50,refined_vecs_mean,recall_p50,dataset
NeuRoute,22,15,5,100,0.3,0.6,1,10000,20,96,39.459389,661.797622,719.002192,13908.16344,192952359,192952359,0.4654,deep1b100M
NeuRoute,23,15,5,100,0.3,0.7,1,10000,20,96,39.663382,672.716586,729.951344,13699.54324,192937833,192937833,0.46773,deep1b100M
NeuRoute,24,15,5,100,0.39,0.5,1,10000,20,96,46.720183,879.567658,946.99269,10559.7436,257453854,257453854,0.47818,deep1b100M
NeuRoute,25,15,5,100,0.39,0.6,1,10000,20,96,47.110368,881.510893,949.078332,10536.5381,257425667,257425667,0.48367,deep1b100M
NeuRoute,26,15,5,100,0.39,0.7,1,10000,20,96,47.220444,886.932769,954.643749,10475.1118,257419567,257419567,0.48614,deep1b100M
NeuRoute,27,15,5,150,0.25,0.5,1,10000,20,96,39.508791,575.503243,630.029147,15872.28154,175143314,175143314,0.50895,deep1b100M
NeuRoute,28,15,5,150,0.25,0.6,1,10000,20,96,40.240287,579.825602,634.198748,15767.92769,175096037,175096037,0.51643,deep1b100M
NeuRoute,29,15,5,150,0.25,0.7,1,10000,20,96,40.590636,576.248866,631.091785,15845.55565,175070245,175070245,0.51933,deep1b100M
NeuRoute,30,15,5,150,0.3,0.5,1,10000,20,96,46.669348,745.600584,809.575889,12352.14652,222070465,222070465,0.52411,deep1b100M
NeuRoute,31,15,5,150,0.3,0.6,1,10000,20,96,47.199065,742.659704,807.442156,12384.78809,222024059,222024059,0.53141,deep1b100M
NeuRoute,32,15,5,150,0.3,0.7,1,10000,20,96,47.809843,748.420598,813.859445,12287.13393,222003848,222003848,0.53422,deep1b100M
NeuRoute,33,15,5,150,0.39,0.5,1,10000,20,96,56.417691,961.616582,1038.833469,9626.181961,286397138,286397138,0.54698,deep1b100M
NeuRoute,34,15,5,150,0.39,0.6,1,10000,20,96,57.505718,966.941306,1045.437499,9565.373358,286332331,286332331,0.5545,deep1b100M
NeuRoute,35,15,5,150,0.39,0.7,1,10000,20,96,57.823104,965.907873,1044.917972,9570.129204,286322974,286322974,0.55729,deep1b100M
NeuRoute,36,15,5,200,0.25,0.5,1,10000,20,96,46.230092,669.056112,731.600015,13668.67113,204051445,204051445,0.55528,deep1b100M
NeuRoute,37,15,5,200,0.25,0.6,1,10000,20,96,47.79775,662.822469,726.579723,13763.11461,203923133,203923133,0.56458,deep1b100M
NeuRoute,38,15,5,200,0.25,0.7,1,10000,20,96,48.01035,665.385048,729.812623,13702.14722,203877537,203877537,0.56811,deep1b100M
NeuRoute,39,15,5,200,0.3,0.5,1,10000,20,96,54.841627,832.018886,905.434684,11044.41897,250901932,250901932,0.57345,deep1b100M
NeuRoute,40,15,5,200,0.3,0.6,1,10000,20,96,56.27871,831.450096,906.403366,11032.61569,250732910,250732910,0.58255,deep1b100M
NeuRoute,41,15,5,200,0.3,0.7,1,10000,20,96,56.836599,833.588087,908.98429,11001.29024,250679352,250679352,0.58667,deep1b100M
NeuRoute,42,15,5,200,0.39,0.5,1,10000,20,96,67.030349,1052.439116,1140.547236,8767.721042,314960604,314960604,0.59753,deep1b100M
NeuRoute,43,15,5,200,0.39,0.6,1,10000,20,96,68.583451,1055.437074,1144.939837,8734.083379,314803478,314803478,0.60614,deep1b100M
NeuRoute,44,15,5,200,0.39,0.7,1,10000,20,96,69.283858,1067.154711,1157.932181,8636.084361,314755812,314755812,0.60978,deep1b100M
NeuRoute,45,15,5,250,0.25,0.5,1,10000,20,96,53.921196,759.499233,829.50573,12055.37182,232609564,232609564,0.59289,deep1b100M
NeuRoute,46,15,5,250,0.25,0.6,1,10000,20,96,55.100264,749.517721,820.489213,12187.85067,232400899,232400899,0.60435,deep1b100M
NeuRoute,47,15,5,250,0.25,0.7,1,10000,20,96,56.151962,757.177005,829.703241,12052.50203,232351289,232351289,0.60838,deep1b100M
NeuRoute,48,15,5,250,0.3,0.5,1,10000,20,96,63.777252,925.036849,1007.515612,9925.404511,279310315,279310315,0.61283,deep1b100M
NeuRoute,49,15,5,250,0.3,0.6,1,10000,20,96,65.646488,928.212771,1013.099223,9870.70148,279053175,279053175,0.62442,deep1b100M
NeuRoute,50,15,5,250,0.3,0.7,1,10000,20,96,66.693998,919.532257,1004.791639,9952.312113,278996688,278996688,0.62868,deep1b100M
NeuRoute,51,15,5,250,0.39,0.5,1,10000,20,96,78.786499,1144.04309,1244.614179,8034.618413,343262276,343262276,0.63658,deep1b100M
NeuRoute,52,15,5,250,0.39,0.6,1,10000,20,96,80.937865,1136.095474,1238.485482,8074.378057,343023308,343023308,0.64667,deep1b100M
NeuRoute,53,15,5,250,0.39,0.7,1,10000,20,96,81.792402,1145.583637,1248.885071,8007.141916,342949392,342949392,0.64983,deep1b100M
NeuRoute,54,15,6,10,0.25,0.5,1,10000,20,96,29.492415,433.599644,479.480549,20855.90338,122891961,122891961,0.20336,deep1b100M
NeuRoute,55,15,6,10,0.25,0.6,1,10000,20,96,29.338946,433.690134,479.117867,20871.69085,122893090,122893090,0.20412,deep1b100M
NeuRoute,56,15,6,10,0.25,0.7,1,10000,20,96,29.365727,432.065989,477.284119,20951.88087,122893754,122893754,0.20441,deep1b100M
NeuRoute,57,15,6,10,0.3,0.5,1,10000,20,96,37.436565,736.464913,794.52816,12586.08631,207426681,207426681,0.20728,deep1b100M
NeuRoute,58,15,6,10,0.3,0.6,1,10000,20,96,37.554506,724.357284,782.11277,12785.87997,207428257,207428257,0.20788,deep1b100M
NeuRoute,59,15,6,10,0.3,0.7,1,10000,20,96,37.479555,724.375237,782.857061,12773.72396,207428562,207428562,0.20814,deep1b100M
NeuRoute,60,15,6,10,0.39,0.5,1,10000,20,96,51.815095,1246.309287,1326.638406,7537.849014,363141347,363141347,0.21099,deep1b100M
NeuRoute,61,15,6,10,0.39,0.6,1,10000,20,96,51.114368,1254.012212,1333.754759,7497.63023,363142555,363142555,0.21167,deep1b100M
NeuRoute,62,15,6,10,0.39,0.7,1,10000,20,96,51.17374,1264.648696,1344.282108,7438.914749,363143782,363143782,0.21197,deep1b100M
NeuRoute,63,15,6,50,0.25,0.5,1,10000,20,96,35.56794,505.539557,558.000076,17921.14451,146666111,146666111,0.36043,deep1b100M
NeuRoute,64,15,6,50,0.25,0.6,1,10000,20,96,35.49321,508.113537,560.721834,17834.15482,146661619,146661619,0.36323,deep1b100M
