Method,dataset,Lsel,Rmax,centroid_heap_k,max_score,calib_heap_front_alpha,repeats,Q,D_logits,D_in,enum_ms_p50,refine_ms_p50,total_ms_p50,total_qps_p50,refined_vecs_p50,refined_vecs_mean,recall_p50,train_time_s,add_time_s,build_time_s
NeuRoute,img1536,13,5,200,0.09,0.5,1,10000,16,1536,21.743281,6860.632292,7106.278282,1407.206361,147304565,147304565,0.83525,,,
NeuRoute,img1536,12,5,200,0.09,0.5,1,10000,16,1536,19.83927,6556.954084,6799.074204,1470.788478,137956089,137956089,0.83478,,,
NeuRoute,img1536,13,5,150,0.09,0.5,1,10000,16,1536,21.632202,6257.459301,6501.863907,1538.020504,131179609,131179609,0.83334,,,
NeuRoute,img1536,13,5,150,0.09,0.5,1,10000,16,1536,21.632202,6257.459301,6501.863907,1538.020504,131179609,131179609,0.83334,,,
NeuRoute,img1536,13,5,150,0.09,0.6,1,10000,16,1536,21.060788,6035.142387,6281.115623,1592.073861,129315390,129315390,0.83306,,,
NeuRoute,img1536,12,5,150,0.09,0.5,1,10000,16,1536,19.949548,5660.954575,5903.289658,1693.970748,121852242,121852242,0.83302,,,
NeuRoute,img1536,12,5,150,0.09,0.5,1,10000,16,1536,19.949548,5660.954575,5903.289658,1693.970748,121852242,121852242,0.83302,,,
NeuRoute,img1536,12,5,150,0.09,0.6,1,10000,16,1536,19.569824,5695.937938,5938.795072,1683.843251,119984488,119984488,0.83272,,,
NeuRoute,img1536,13,4,200,0.09,0.5,1,10000,16,1536,18.533505,6029.872566,6274.436181,1593.768701,129542922,129542922,0.83203,,,
NeuRoute,img1536,12,4,200,0.09,0.5,1,10000,16,1536,17.388451,5808.864371,6047.867078,1653.475493,124128561,124128561,0.83167,,,
NeuRoute,img1536,13,4,150,0.09,0.5,1,10000,16,1536,18.091082,5293.779383,5533.249429,1807.25632,113511022,113511022,0.8307,,,
NeuRoute,img1536,13,4,150,0.09,0.5,1,10000,16,1536,18.091082,5293.779383,5533.249429,1807.25632,113511022,113511022,0.8307,,,
NeuRoute,img1536,13,4,150,0.09,0.6,1,10000,16,1536,17.984352,5246.52716,5492.929222,1820.522274,111623254,111623254,0.83053,,,
NeuRoute,img1536,12,4,150,0.09,0.5,1,10000,16,1536,17.769248,4998.247455,5236.471206,1909.682992,108116889,108116889,0.83039,,,
NeuRoute,img1536,12,4,150,0.09,0.5,1,10000,16,1536,17.769248,4998.247455,5236.471206,1909.682992,108116889,108116889,0.83039,,,
NeuRoute,img1536,12,4,150,0.09,0.6,1,10000,16,1536,17.007565,5008.743125,5247.018213,1905.844347,106225598,106225598,0.83025,,,
